order_id,customer_id,order_date,product,channel,quantity,revenue
ORD0064,CUST028,2024-01-10,Gizmo,organic,4.0,198.88
ORD0065,CUST020,2024-03-14,Gizmo,email,4.0,296.17
ORD0066,CUST018,2024-06-16,Gizmo,email,2.0,59.89
ORD0067,CUST007,2024-05-04,Gizmo,email,2.0,104.07
ORD0068,CUST016,2024-01-18,Gadget,email,2.0,89.46
ORD0069,CUST010,2024-05-31,Widget,ads,3.0,135.8
ORD0070,CUST013,2024-06-01,Doohickey,ads,3.0,73.35
ORD0071,CUST028,2024-05-24,Gadget,email,2.0,53.09
ORD0072,CUST026,2024-06-12,Gizmo,email,3.0,90.22
ORD0073,CUST025,2024-02-13,Widget,email,2.0,62.19
ORD0074,CUST015,2024-06-26,Gadget,email,2.0,84.13
ORD0075,CUST039,2024-02-28,Gizmo,email,4.0,144.44
ORD0076,CUST004,2024-05-25,Gizmo,ads,5.0,192.08
ORD0077,CUST014,2024-04-14,Gizmo,email,2.0,101.28
ORD0078,CUST005,2024-05-21,Gadget,email,5.0,62.47
ORD0079,CUST014,2024-04-23,Doohickey,email,3.0,172.11
ORD0080,CUST039,2024-04-26,Gizmo,ads,1.0,59.05
ORD0081,CUST015,2024-04-21,Doohickey,email,2.0,93.97
ORD0082,CUST037,2024-05-20,Gizmo,email,1.0,10.12
ORD0083,CUST020,2024-05-13,Gizmo,organic,1.0,38.04
ORD0084,CUST028,2024-01-25,Doohickey,email,2.0,129.59
ORD0085,CUST019,2024-05-29,Widget,ads,3.0,49.99
ORD0086,CUST011,2024-04-07,Doohickey,ads,4.0,183.32
ORD0087,CUST031,2024-02-28,Doohickey,email,1.0,35.84
ORD0088,CUST039,2024-04-03,Gizmo,ads,5.0,298.27
ORD0089,CUST011,2024-06-24,Gizmo,organic,2.0,83.8
ORD0090,CUST032,2024-06-04,Gizmo,organic,1.0,54.85
ORD0091,CUST011,2024-05-30,Gadget,email,4.0,227.14
ORD0092,CUST029,2024-03-24,Doohickey,email,4.0,288.14
ORD0093,CUST032,2024-05-21,Widget,email,4.0,190.26
ORD0094,CUST018,2024-03-10,Gadget,ads,1.0,54.51
ORD0095,CUST030,2024-05-04,Gizmo,ads,1.0,32.18
ORD0096,CUST011,2024-04-25,Doohickey,email,2.0,128.57
ORD0097,CUST004,2024-02-15,Gadget,email,3.0,122.62
ORD0098,CUST004,2024-02-18,Gadget,organic,5.0,216.35
ORD0099,CUST018,2024-01-12,Widget,email,2.0,99.47
ORD0100,CUST037,2024-01-26,Widget,ads,1.0,31.25
ORD0101,CUST006,2024-03-19,Widget,ads,5.0,263.73
ORD0102,CUST019,2024-03-27,Widget,email,1.0,61.61
ORD0103,CUST029,2024-01-30,Doohickey,email,1.0,53.52
ORD0104,CUST009,2024-03-16,Doohickey,email,3.0,92.8
ORD0105,CUST029,2024-04-19,Doohickey,organic,3.0,145.54
ORD0106,CUST013,2024-02-12,Widget,email,4.0,235.62
ORD0107,CUST033,2024-03-02,Widget,email,5.0,137.32
ORD0108,CUST024,2024-03-07,Gadget,email,5.0,185.51
ORD0109,CUST022,2024-04-01,Gizmo,email,2.0,121.04
ORD0110,CUST008,2024-03-07,Gadget,ads,5.0,266.21
ORD0111,CUST019,2024-05-13,Gadget,email,4.0,219.77
ORD0112,CUST035,2024-02-29,Widget,ads,1.0,72.31
ORD0113,CUST001,2024-03-19,Gizmo,ads,5.0,278.11
ORD0114,CUST031,2024-03-09,Gadget,organic,1.0,57.89
ORD0115,CUST020,2024-02-03,Widget,email,3.0,247.59
ORD0116,CUST029,2024-05-04,Gizmo,organic,4.0,94.87
ORD0117,CUST027,2024-02-12,Doohickey,ads,2.0,80.85
ORD0118,CUST018,2024-02-23,Widget,email,2.0,110.27
ORD0119,CUST013,2024-05-23,Gadget,organic,3.0,165.8
ORD0120,CUST026,2024-06-20,Doohickey,organic,5.0,109.2
ORD0121,CUST006,2024-05-01,Gizmo,email,2.0,75.22
ORD0122,CUST024,2024-06-14,Doohickey,organic,4.0,310.87
ORD0123,CUST004,2024-06-03,Gadget,ads,3.0,161.77
ORD0124,CUST026,2024-03-28,Gadget,ads,1.0,41.21
ORD0125,CUST026,2024-05-19,Gizmo,organic,4.0,121.98
ORD0126,CUST004,2024-02-29,Widget,email,5.0,243.45
ORD0127,CUST031,2024-03-24,Widget,organic,3.0,140.9
ORD0128,CUST017,2024-04-06,Gizmo,email,1.0,56.75
ORD0129,CUST032,2024-06-22,Gizmo,organic,1.0,34.5
ORD0130,CUST002,2024-06-02,Widget,ads,3.0,162.69
ORD0131,CUST008,2024-03-29,Gizmo,email,3.0,218.87
ORD0132,CUST020,2024-04-28,Gadget,ads,3.0,166.78
ORD0133,CUST008,2024-02-06,Gizmo,email,2.0,90.97
ORD0134,CUST014,2024-05-25,Doohickey,email,3.0,131.74
ORD0135,CUST027,2024-04-10,Widget,email,2.0,90.15
ORD0136,CUST006,2024-04-06,Doohickey,email,4.0,187.81
ORD0137,CUST028,2024-05-18,Gadget,email,4.0,90.94
ORD0138,CUST005,2024-04-24,Doohickey,email,4.0,243.98
ORD0139,CUST008,2024-01-14,Gadget,ads,1.0,29.2
ORD0140,CUST024,2024-02-22,Gadget,ads,5.0,301.72
ORD0141,CUST032,2024-02-01,Doohickey,ads,1.0,45.44
ORD0142,CUST007,2024-05-13,Gizmo,email,5.0,272.62
ORD0143,CUST012,2024-01-07,Widget,organic,1.0,36.48
ORD0144,CUST038,2024-02-06,Gizmo,ads,3.0,197.83
ORD0145,CUST040,2024-04-18,Doohickey,email,1.0,64.95
ORD0146,CUST024,2024-05-05,Gadget,email,1.0,61.52
ORD0147,CUST018,2024-04-01,Doohickey,ads,4.0,127.29
ORD0148,CUST014,2024-06-04,Gizmo,email,4.0,239.8
ORD0149,CUST025,2024-06-15,Gadget,ads,1.0,54.86
ORD0150,CUST024,2024-01-24,Widget,organic,5.0,153.68
ORD0151,CUST012,2024-06-21,Gizmo,email,2.0,99.42
ORD0152,CUST001,2024-04-21,Widget,email,2.0,108.75
ORD0153,CUST007,2024-04-25,Doohickey,organic,2.0,113.35
ORD0154,CUST039,2024-01-18,Gizmo,ads,3.0,156.38
ORD0155,CUST017,2024-04-22,Gadget,email,1.0,53.49
ORD0156,CUST020,2024-05-11,Widget,organic,3.0,203.05
ORD0157,CUST019,2024-04-15,Gizmo,organic,2.0,129.42
ORD0158,CUST032,2024-01-16,Widget,ads,1.0,15.6
ORD0159,CUST003,2024-04-04,Gadget,ads,2.0,92.38
ORD0160,CUST004,2024-06-18,Doohickey,email,4.0,192.1
ORD0161,CUST012,2024-05-10,Doohickey,email,4.0,115.9
ORD0162,CUST020,2024-01-25,Doohickey,ads,2.0,102.26
ORD0163,CUST027,2024-06-22,Doohickey,email,2.0,129.97
ORD0164,CUST020,2024-06-22,Gizmo,ads,4.0,147.84
ORD0165,CUST018,2024-01-31,Widget,organic,4.0,216.15
ORD0166,CUST038,2024-05-24,Doohickey,email,5.0,195.05
ORD0167,CUST007,2024-03-14,Doohickey,ads,5.0,209.69
ORD0168,CUST023,2024-04-17,Doohickey,email,5.0,338.64
ORD0169,CUST022,2024-03-21,Gizmo,organic,5.0,217.45
ORD0170,CUST019,2024-05-21,Widget,email,3.0,166.64
ORD0171,CUST033,2024-06-29,Gizmo,ads,2.0,27.54
ORD0172,CUST011,2024-05-23,Gadget,ads,2.0,144.7
ORD0173,CUST039,2024-06-17,Doohickey,email,2.0,57.23
ORD0174,CUST014,2024-06-20,Gadget,ads,4.0,191.24
ORD0175,CUST022,2024-01-17,Gadget,ads,4.0,227.63
ORD0176,CUST021,2024-02-15,Widget,ads,5.0,165.41
ORD0177,CUST034,2024-05-10,Doohickey,organic,1.0,64.19
ORD0178,CUST018,2024-04-16,Doohickey,organic,3.0,138.34
ORD0179,CUST012,2024-01-10,Widget,ads,2.0,95.1
ORD0180,CUST001,2024-01-18,Gadget,ads,5.0,220.5
ORD0181,CUST015,2024-04-04,Gadget,email,2.0,86.06
ORD0182,CUST034,2024-04-21,Gadget,organic,1.0,58.34
ORD0183,CUST001,2024-01-31,Doohickey,ads,3.0,159.21
ORD0184,CUST036,2024-02-01,Widget,ads,5.0,289.1
ORD0185,CUST022,2024-01-24,Gadget,email,5.0,249.47
ORD0186,CUST006,2024-04-12,Widget,organic,1.0,56.16
ORD0187,CUST013,2024-01-02,Widget,email,2.0,89.95
ORD0188,CUST023,2024-04-13,Doohickey,ads,1.0,76.76
ORD0189,CUST013,2024-03-27,Doohickey,email,2.0,62.37
ORD0190,CUST005,2024-03-25,Widget,organic,3.0,195.39
ORD0191,CUST027,2024-05-02,Gizmo,email,2.0,132.83
ORD0192,CUST027,2024-04-04,Widget,email,1.0,39.77
ORD0193,CUST005,2024-05-11,Widget,organic,3.0,115.12
ORD0194,CUST012,2024-05-18,Gadget,organic,1.0,61.95
ORD0195,CUST010,2024-06-15,Widget,email,2.0,123.31
ORD0196,CUST027,2024-05-24,Gadget,ads,1.0,50.34
ORD0197,CUST030,2024-04-03,Doohickey,ads,1.0,47.39
ORD0198,CUST030,2024-03-30,Gizmo,organic,3.0,142.46
ORD0199,CUST038,2024-02-12,Gizmo,email,5.0,273.43
ORD0200,CUST031,2024-04-18,Gadget,ads,4.0,267.26
ORD0201,CUST013,2024-01-26,Widget,ads,1.0,52.18
ORD0202,CUST005,2024-06-17,Widget,ads,1.0,19.53
ORD0203,CUST025,2024-06-01,Gadget,organic,2.0,119.79
ORD0204,CUST037,2024-01-22,Widget,ads,4.0,244.22
ORD0205,CUST040,2024-05-22,Doohickey,email,4.0,231.42
ORD0206,CUST010,2024-01-22,Doohickey,organic,5.0,294.73
ORD0207,CUST010,2024-05-10,Doohickey,organic,2.0,93.5
ORD0208,CUST002,2024-01-16,Gizmo,organic,1.0,38.85
ORD0209,CUST006,2024-03-29,Gizmo,email,1.0,39.58
ORD0210,CUST023,2024-04-29,Gizmo,email,1.0,30.37
ORD0211,CUST022,2024-05-11,Gadget,ads,1.0,52.84
ORD0212,CUST015,2024-03-16,Gizmo,email,5.0,244.99
ORD0213,CUST013,2024-06-15,Doohickey,organic,2.0,89.44
ORD0214,CUST034,2024-05-20,Doohickey,email,5.0,72.66
ORD0215,CUST019,2024-02-07,Gizmo,ads,3.0,105.1
ORD0216,CUST033,2024-05-01,Widget,organic,3.0,95.18
ORD0217,CUST039,2024-05-12,Gizmo,email,3.0,63.04
ORD0218,CUST013,2024-03-01,Gadget,email,5.0,271.64
ORD0219,CUST009,2024-05-13,Gizmo,ads,1.0,16.66
ORD0220,CUST039,2024-06-11,Gizmo,ads,1.0,33.63
ORD0221,CUST026,2024-05-27,Doohickey,ads,3.0,72.41
ORD0222,CUST012,2024-05-18,Gadget,ads,2.0,106.96
ORD0223,CUST025,2024-04-24,Doohickey,organic,3.0,233.73
ORD0224,CUST021,2024-02-18,Doohickey,ads,4.0,272.79
ORD0225,CUST037,2024-05-23,Gadget,email,3.0,69.48
ORD0226,CUST011,2024-03-06,Gadget,email,2.0,85.76
ORD0227,CUST040,2024-04-06,Gizmo,email,2.0,92.19
ORD0228,CUST038,2024-02-26,Doohickey,email,4.0,224.48
ORD0229,CUST008,2024-02-26,Gizmo,email,2.0,97.47
ORD0230,CUST007,2024-01-29,Doohickey,ads,3.0,135.77
ORD0231,CUST022,2024-06-22,Gadget,email,3.0,202.82
ORD0232,CUST002,2024-01-27,Gizmo,organic,4.0,194.52
ORD0233,CUST012,2024-01-16,Gadget,email,4.0,310.38
ORD0234,CUST018,2024-06-18,Doohickey,email,3.0,76.64
ORD0235,CUST039,2024-04-10,Gadget,organic,2.0,142.85
ORD0236,CUST040,2024-03-20,Gizmo,organic,2.0,108.58
ORD0237,CUST007,2024-05-13,Widget,email,3.0,184.67
ORD0238,CUST036,2024-03-10,Doohickey,email,2.0,82.61
ORD0239,CUST004,2024-01-24,Gadget,email,4.0,159.02
ORD0240,CUST030,2024-05-12,Gadget,ads,2.0,111.03
ORD0241,CUST034,2024-02-01,Gizmo,ads,4.0,247.45
ORD0242,CUST036,2024-04-10,Gadget,email,4.0,201.93
ORD0243,CUST009,2024-06-20,Doohickey,email,5.0,86.41
ORD0244,CUST036,2024-06-18,Gizmo,ads,1.0,16.84
ORD0245,CUST005,2024-03-06,Gizmo,organic,4.0,131.5
ORD0246,CUST021,2024-05-21,Widget,ads,1.0,28.79
ORD0247,CUST019,2024-04-20,Widget,ads,2.0,102.63
ORD0248,CUST013,2024-03-27,Gadget,email,1.0,63.5
ORD0249,CUST001,2024-01-26,Doohickey,email,1.0,49.84
ORD0250,CUST031,2024-03-09,Doohickey,email,1.0,22.88
ORD0251,CUST014,2024-04-27,Gizmo,organic,1.0,47.71
ORD0252,CUST027,2024-06-27,Gizmo,organic,5.0,240.23
ORD0253,CUST017,2024-01-01,Gadget,organic,1.0,75.15
ORD0254,CUST015,2024-05-09,Widget,organic,2.0,65.03
ORD0255,CUST036,2024-06-02,Widget,organic,4.0,90.62
ORD0256,CUST004,2024-06-21,Gadget,organic,5.0,352.35
ORD0257,CUST030,2024-03-17,Gadget,email,5.0,277.0
ORD0258,CUST030,2024-01-22,Widget,email,1.0,56.76
ORD0259,CUST016,2024-02-19,Gadget,email,5.0,256.88
ORD0260,CUST011,2024-06-02,Widget,ads,4.0,215.84
ORD0261,CUST001,2024-06-07,Gizmo,email,1.0,59.33
ORD0262,CUST038,2024-04-25,Doohickey,organic,3.0,120.86
ORD0263,CUST038,2024-01-23,Gizmo,ads,5.0,302.68
ORD0264,CUST010,2024-01-23,Gadget,ads,2.0,67.05
ORD0265,CUST002,2024-03-27,Gadget,email,1.0,53.94
ORD0266,CUST005,2024-04-16,Gadget,email,5.0,260.72
ORD0267,CUST003,2024-01-06,Widget,email,5.0,213.02
ORD0268,CUST034,2024-05-04,Gizmo,organic,5.0,248.64
ORD0269,CUST036,2024-04-08,Gizmo,ads,5.0,212.65
ORD0270,CUST007,2024-01-03,Widget,ads,5.0,185.7
ORD0271,CUST030,2024-01-18,Gadget,email,3.0,137.27
ORD0272,CUST008,2024-03-23,Gadget,email,1.0,36.75
ORD0273,CUST015,2024-05-10,Widget,ads,4.0,215.49
ORD0274,CUST024,2024-05-29,Gizmo,organic,2.0,72.4
ORD0275,CUST029,2024-03-19,Gizmo,organic,3.0,175.63
ORD0276,CUST035,2024-02-23,Gizmo,email,4.0,143.29
ORD0277,CUST002,2024-06-24,Gizmo,organic,5.0,216.02
ORD0278,CUST008,2024-03-23,Doohickey,email,2.0,85.01
ORD0279,CUST012,2024-02-27,Doohickey,organic,2.0,131.8
ORD0280,CUST013,2024-03-21,Gizmo,email,4.0,215.85
ORD0281,CUST040,2024-01-03,Doohickey,email,1.0,47.46
ORD0282,CUST032,2024-02-24,Gadget,organic,3.0,167.95
ORD0283,CUST013,2024-04-03,Doohickey,email,4.0,98.85
ORD0284,CUST039,2024-06-15,Doohickey,ads,3.0,74.22
ORD0285,CUST020,2024-05-13,Gizmo,ads,2.0,147.94
ORD0286,CUST021,2024-05-21,Doohickey,email,5.0,257.94
ORD0287,CUST018,2024-04-08,Gizmo,ads,2.0,101.63
ORD0288,CUST006,2024-01-21,Gizmo,organic,4.0,226.31
ORD0289,CUST038,2024-03-11,Gadget,organic,3.0,182.24
ORD0290,CUST001,2024-06-29,Doohickey,email,1.0,26.03
ORD0291,CUST007,2024-01-08,Gizmo,ads,3.0,89.44
ORD0292,CUST010,2024-06-08,Doohickey,email,1.0,52.52
ORD0293,CUST012,2024-05-03,Gadget,email,5.0,207.11
ORD0294,CUST006,2024-02-21,Doohickey,email,4.0,262.98
ORD0295,CUST001,2024-05-20,Widget,organic,2.0,92.44
ORD0296,CUST028,2024-05-31,Widget,organic,3.0,40.18
ORD0297,CUST039,2024-01-08,Gizmo,organic,4.0,139.14
ORD0298,CUST005,2024-01-20,Gizmo,ads,2.0,34.01
ORD0299,CUST012,2024-04-30,Doohickey,ads,2.0,94.38
ORD0300,CUST021,2024-06-29,Gadget,ads,3.0,143.22
ORD0301,CUST038,2024-01-05,Gizmo,ads,2.0,89.81
ORD0302,CUST028,2024-04-30,Gizmo,ads,4.0,251.79
ORD0303,CUST031,2024-01-25,Doohickey,email,1.0,64.38
ORD0304,CUST024,2024-04-27,Gizmo,email,5.0,239.78
ORD0305,CUST017,2024-04-22,Gadget,organic,2.0,48.77
ORD0306,CUST008,2024-01-17,Doohickey,ads,3.0,172.22
ORD0307,CUST035,2024-05-03,Widget,organic,1.0,56.66
ORD0308,CUST033,2024-06-11,Doohickey,email,2.0,53.72
ORD0309,CUST002,2024-06-05,Widget,ads,4.0,247.11
ORD0310,CUST029,2024-01-06,Gadget,email,2.0,72.04
ORD0311,CUST004,2024-02-14,Doohickey,email,1.0,74.11
ORD0312,CUST030,2024-02-13,Gizmo,email,3.0,115.46
ORD0313,CUST034,2024-03-23,Doohickey,email,1.0,58.99
ORD0314,CUST006,2024-01-26,Gizmo,organic,2.0,59.5
ORD0315,CUST018,2024-06-03,Gizmo,email,3.0,58.26
ORD0316,CUST005,2024-05-20,Gadget,ads,3.0,102.3
ORD0317,CUST023,2024-05-26,Widget,ads,4.0,187.48
ORD0318,CUST038,2024-02-05,Widget,ads,4.0,240.32
ORD0319,CUST004,2024-01-03,Gadget,ads,5.0,264.22
ORD0320,CUST016,2024-06-13,Widget,email,1.0,24.37
ORD0321,CUST039,2024-02-22,Gizmo,organic,2.0,132.73
ORD0322,CUST013,2024-04-28,Doohickey,organic,1.0,47.16
ORD0323,CUST006,2024-06-13,Doohickey,ads,1.0,28.63
ORD0324,CUST020,2024-01-07,Gadget,ads,2.0,80.72
ORD0325,CUST021,2024-01-01,Doohickey,email,3.0,169.84
ORD0326,CUST027,2024-01-01,Doohickey,organic,5.0,273.73
ORD0327,CUST013,2024-01-29,Doohickey,email,4.0,124.78
ORD0328,CUST039,2024-01-10,Gadget,email,4.0,165.23
ORD0329,CUST021,2024-05-28,Gadget,email,4.0,172.08
ORD0330,CUST012,2024-04-19,Doohickey,organic,1.0,45.61
ORD0331,CUST039,2024-06-26,Widget,ads,5.0,83.72
ORD0332,CUST037,2024-05-25,Gadget,organic,5.0,106.15
ORD0333,CUST020,2024-06-23,Widget,organic,1.0,41.26
ORD0334,CUST001,2024-02-13,Doohickey,email,3.0,177.78
ORD0335,CUST024,2024-02-22,Gizmo,organic,5.0,298.55
ORD0336,CUST023,2024-06-02,Widget,ads,3.0,144.75
ORD0337,CUST006,2024-02-14,Widget,ads,5.0,226.48
ORD0338,CUST026,2024-01-11,Gizmo,email,5.0,258.4
ORD0339,CUST034,2024-05-01,Gizmo,organic,3.0,120.6
ORD0340,CUST005,2024-05-24,Doohickey,email,1.0,18.12
ORD0341,CUST029,2024-06-24,Gadget,email,2.0,38.72
ORD0342,CUST006,2024-06-16,Doohickey,ads,2.0,84.76
ORD0343,CUST030,2024-01-22,Gadget,email,3.0,108.11
ORD0344,CUST017,2024-05-19,Doohickey,email,3.0,155.83
ORD0345,CUST001,2024-06-02,Widget,ads,3.0,176.27
ORD0346,CUST039,2024-05-06,Widget,email,1.0,15.48
ORD0347,CUST007,2024-05-28,Widget,organic,2.0,100.6
ORD0348,CUST024,2024-05-31,Gadget,email,4.0,189.44
ORD0349,CUST008,2024-03-21,Doohickey,ads,1.0,54.1
ORD0350,CUST038,2024-01-08,Widget,ads,2.0,99.69
ORD0351,CUST030,2024-03-23,Gadget,ads,5.0,162.78
ORD0352,CUST033,2024-02-06,Widget,ads,1.0,34.85
ORD0353,CUST018,2024-01-21,Doohickey,ads,3.0,151.06
ORD0354,CUST019,2024-01-23,Gizmo,organic,2.0,124.69
ORD0355,CUST026,2024-05-06,Doohickey,email,1.0,11.72
ORD0356,CUST032,2024-04-01,Gizmo,email,3.0,162.45
ORD0357,CUST034,2024-04-07,Gizmo,ads,3.0,192.83
ORD0358,CUST001,2024-05-14,Doohickey,organic,1.0,48.16
ORD0359,CUST027,2024-04-09,Widget,email,1.0,56.6
ORD0360,CUST005,2024-04-24,Doohickey,ads,1.0,41.56
ORD0361,CUST012,2024-01-16,Gizmo,organic,4.0,194.27
ORD0362,CUST034,2024-06-03,Gizmo,ads,5.0,152.75
ORD0363,CUST011,2024-03-22,Gadget,organic,1.0,21.87
ORD0364,CUST032,2024-01-29,Doohickey,ads,2.0,122.63
ORD0365,CUST019,2024-05-27,Gadget,ads,2.0,76.36
ORD0366,CUST010,2024-05-12,Widget,email,2.0,89.07
ORD0367,CUST014,2024-01-10,Doohickey,organic,2.0,66.73
ORD0368,CUST022,2024-02-04,Widget,email,1.0,33.08
ORD0369,CUST031,2024-01-03,Widget,ads,3.0,143.74
ORD0370,CUST025,2024-02-19,Gizmo,ads,2.0,82.49
ORD0371,CUST038,2024-01-19,Widget,ads,2.0,109.07
ORD0372,CUST035,2024-05-08,Doohickey,ads,2.0,110.86
ORD0373,CUST031,2024-04-04,Gadget,ads,5.0,269.25
ORD0374,CUST025,2024-06-26,Widget,organic,4.0,211.45
ORD0375,CUST012,2024-05-15,Doohickey,ads,3.0,206.8
ORD0376,CUST017,2024-04-20,Gizmo,ads,2.0,74.38
ORD0377,CUST005,2024-04-02,Gadget,email,5.0,246.7
ORD0378,CUST015,2024-01-10,Gizmo,ads,5.0,317.96
ORD0379,CUST038,2024-01-13,Gizmo,ads,1.0,65.17
ORD0380,CUST018,2024-04-21,Widget,email,5.0,164.69
ORD0381,CUST005,2024-01-01,Doohickey,email,4.0,185.01
ORD0382,CUST027,2024-01-08,Gadget,ads,1.0,66.3
ORD0383,CUST039,2024-02-09,Gizmo,ads,4.0,224.39
ORD0384,CUST035,2024-06-09,Doohickey,ads,1.0,52.34
ORD0385,CUST011,2024-03-24,Gizmo,email,1.0,47.39
ORD0386,CUST019,2024-05-08,Gizmo,email,1.0,45.39
ORD0387,CUST022,2024-03-15,Gadget,email,3.0,160.38
ORD0388,CUST010,2024-02-01,Widget,organic,4.0,187.89
ORD0389,CUST011,2024-03-08,Gadget,organic,3.0,148.47
ORD0390,CUST010,2024-01-17,Doohickey,email,1.0,50.94
ORD0391,CUST040,2024-05-19,Gizmo,ads,1.0,41.86
ORD0392,CUST030,2024-02-03,Gadget,email,5.0,281.93
ORD0393,CUST034,2024-03-09,Doohickey,email,5.0,424.85
ORD0394,CUST033,2024-06-26,Doohickey,email,4.0,57.35
ORD0395,CUST039,2024-04-17,Doohickey,email,1.0,53.89
ORD0396,CUST005,2024-03-23,Gadget,ads,5.0,204.39
ORD0397,CUST036,2024-04-08,Gizmo,organic,4.0,227.72
ORD0398,CUST003,2024-05-21,Gizmo,email,3.0,151.68
ORD0399,CUST020,2024-02-16,Gadget,ads,1.0,59.14
ORD0400,CUST024,2024-04-25,Gadget,ads,5.0,320.53
ORD0001,CUST018,2024-03-05,Doohickey,email,4.0,5000.0
ORD0002,CUST027,2024-01-27,Gizmo,organic,5.0,281.44
